"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2009","258.80","257.13","264.67","251.24","311.83M","0.68%"
"11/01/2009","257.06","236.70","265.58","234.96","312.42M","8.61%"
"10/01/2009","236.68","247.43","260.32","232.63","402.36M","-4.34%"
"09/01/2009","247.43","229.53","256.26","220.98","392.93M","7.79%"
"08/01/2009","229.54","225.18","238.31","222.99","318.89M","1.95%"
"07/01/2009","225.14","193.23","226.97","179.97","357.86M","16.57%"
"06/01/2009","193.13","203.67","213.43","182.79","426.74M","-5.18%"
"05/01/2009","203.67","196.10","211.07","187.60","498.83M","3.87%"
"04/01/2009","196.09","161.03","200.36","157.13","473.97M","21.73%"
"03/01/2009","161.08","136.77","169.81","126.68","627.39M","17.75%"
"02/01/2009","136.80","154.49","169.05","134.40","542.65M","-11.46%"
"01/01/2009","154.50","167.52","182.42","153.42","516.46M","-7.77%"
"12/01/2008","167.52","171.42","180.39","152.13","526.20M","-2.33%"
"11/01/2008","171.52","204.66","212.67","144.14","529.88M","-16.19%"
"10/01/2008","204.66","252.81","254.67","169.60","757.71M","-19.05%"
"09/01/2008","252.83","298.95","300.78","242.75","572.83M","-15.38%"
"08/01/2008","298.77","304.48","306.07","284.64","377.18M","-1.88%"
"07/01/2008","304.48","306.50","310.56","285.44","580.37M","-0.66%"
"06/01/2008","306.51","323.92","339.07","303.33","480.83M","-5.37%"
"05/01/2008","323.91","310.05","329.12","302.17","423.79M","4.48%"
"04/01/2008","310.02","291.55","331.19","286.47","511.04M","6.34%"
"03/01/2008","291.54","297.47","301.79","272.54","630.47M","-1.99%"
"02/01/2008","297.45","290.48","312.56","278.10","522.40M","2.40%"
"01/01/2008","290.48","300.28","306.42","252.98","765.12M","-3.26%"
"12/01/2007","300.28","291.62","309.08","288.30","469.95M","2.97%"
"11/01/2007","291.62","300.86","300.87","270.51","586.48M","-3.07%"
"10/01/2007","300.87","288.81","302.07","282.25","539.15M","4.18%"
"09/01/2007","288.79","269.41","291.29","261.18","436.75M","7.20%"
"08/01/2007","269.40","265.56","271.77","243.35","749.88M","1.44%"
"07/01/2007","265.58","268.80","286.53","261.11","709.70M","-1.19%"
"06/01/2007","268.77","263.50","272.76","257.37","603.50M","2.00%"
